year,mileage,insurance,gearbox_type,gearbox_health,motor_status,body_status,chassis_status,brand,car_age,yearly_mileage,has_insurance,price
2016.0,169000,6,اتوماتیک,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,hyundai_santafe-ix45,10.0,15363.636363636364,1,7050000000.0
2017.0,92000,3,اتوماتیک,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,renault_tondar-90,9.0,9200.0,1,2180000000.0
2016.0,171000,2,دنده‌ای,سالم و پلمپ,سالم,رنگ‌شدگی در ۲ ناحیه,سالم و پلمپ,peugeot_206,10.0,15545.454545454546,1,1080000000.0
2017.0,35000,11,دنده‌ای,سالم و پلمپ,سالم,تمام‌رنگ,سالم و پلمپ,peugeot_pars,9.0,3500.0,1,1150000000.0
2015.0,90000,10,اتوماتیک,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,hyundai_santafe-ix45,11.0,7500.0,1,3200000.0
2016.0,150000,3,اتوماتیک,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,kia_cerato,10.0,13636.363636363636,1,3220000000.0
2011.0,340000,4,دنده‌ای,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,pride_131,15.0,21250.0,1,427000000.0
2020.0,120000,6,دنده‌ای,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,peugeot_pars,6.0,17142.85714285714,1,1310000000.0
2022.0,47000,6,دنده‌ای,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,mvm_x22,4.0,9400.0,1,1900000000.0
2015.0,190000,6,اتوماتیک,سالم و پلمپ,سالم,رنگ‌شدگی در ۳ ناحیه,سالم و پلمپ,kia_cerato,11.0,15833.333333333334,1,3670000000.0
2016.0,160000,7,دنده‌ای,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,renault_tondar-90,10.0,14545.454545454546,1,1700000000.0
2014.0,350000,8,دنده‌ای,سالم و پلمپ,سالم,رنگ‌شدگی در ۲ ناحیه,سالم و پلمپ,peugeot_pars,12.0,26923.076923076922,1,920000000.0
2026.0,20000,0,دنده‌ای,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,dena,0.0,20000.0,0,2400000000.0
2021.0,100000,8,اتوماتیک,سالم و پلمپ,سالم,خط و خش جزیی,سالم و پلمپ,jac_s5,5.0,16666.666666666668,1,3000000000.0
2016.0,130000,12,اتوماتیک,سالم و پلمپ,سالم,رنگ‌شدگی در ۲ ناحیه,سالم و پلمپ,hyundai_santafe-ix45,10.0,11818.181818181818,1,2800000000.0
2016.0,260000,6,دنده‌ای,تعمیر شده,سالم,رنگ‌شدگی در ۱ ناحیه,سالم و پلمپ,pride_131,10.0,23636.363636363636,1,660000000.0
2016.0,360000,2,دنده‌ای,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,pride_131,10.0,32727.272727272728,1,530000000.0
2023.0,70000,12,اتوماتیک,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,mvm_x22,3.0,17500.0,1,2100000000.0
2015.0,250000,2,دنده‌ای,سالم و پلمپ,سالم,رنگ‌شدگی در ۲ ناحیه,ضربه‌خورده,dena,11.0,20833.333333333332,1,985000000.0
2025.0,21000,6,اتوماتیک,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,dena,1.0,10500.0,1,2570000000.0
2025.0,1000,5,دنده‌ای,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,dena,1.0,500.0,1,2100000000.0
2012.0,109000,6,اتوماتیک,سالم و پلمپ,سالم,سالم و بی‌خط و خش,سالم و پلمپ,hyundai_santafe-ix45,14.0,7266.666666666667,1,6150000000.0
2016.0,145000,6,اتوماتیک,سالم و پلمپ,سالم,رنگ‌شدگی در ۱ ناحیه,سالم و پلمپ,jac_s5,10.0,13181.818181818182,1,2490000000.0
2011.0,240000,9,اتوماتیک,سالم و پلمپ,سالم,رنگ‌شدگی در ۱ ناحیه,سالم و پلمپ,kia_cerato,15.0,15000.0,1,112000.0
2012.0,250000,9,دنده‌ای,سالم و پلمپ,سالم,تصادفی,سالم و پلمپ,pride_131,14.0,16666.666666666668,1,420000000.0
